https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1564617600000,2019-08-01 0:00:00,ADA/USDT,0.06006,0.06035,0.05767,0.05861,67797310.5,3969778.697,12486
1564531200000,2019-07-31 0:00:00,ADA/USDT,0.05975,0.06108,0.05915,0.06011,85023597,5106362.68,14514
1564444800000,2019-07-30 0:00:00,ADA/USDT,0.06038,0.06141,0.05878,0.05975,50580079.5,3039078.414,10218
1564358400000,2019-07-29 0:00:00,ADA/USDT,0.05939,0.06258,0.05805,0.06035,71237105.1,4297632.889,15197
1564272000000,2019-07-28 0:00:00,ADA/USDT,0.05984,0.06018,0.05675,0.05936,55780383.9,3281712.437,10988
1564185600000,2019-07-27 0:00:00,ADA/USDT,0.06259,0.06354,0.057,0.05988,91740858.9,5504908.367,18196
1564099200000,2019-07-26 0:00:00,ADA/USDT,0.05853,0.06297,0.05681,0.06261,105911989.2,6395938.752,19015
1564012800000,2019-07-25 0:00:00,ADA/USDT,0.05875,0.06069,0.05731,0.05852,78359388.9,4647316.66,13983
1563926400000,2019-07-24 0:00:00,ADA/USDT,0.05563,0.05904,0.05385,0.05876,97796862.8,5531188.548,16248
1563840000000,2019-07-23 0:00:00,ADA/USDT,0.05946,0.0596,0.05516,0.05568,80784585.8,4601208.654,14406
1563753600000,2019-07-22 0:00:00,ADA/USDT,0.06117,0.06216,0.05808,0.05949,66144743.4,3967768.58,14245
1563667200000,2019-07-21 0:00:00,ADA/USDT,0.06262,0.064,0.0593,0.06107,68228587.5,4183117.852,14580
1563580800000,2019-07-20 0:00:00,ADA/USDT,0.05964,0.06509,0.05922,0.06262,117752709.7,7346240.731,23619
1563494400000,2019-07-19 0:00:00,ADA/USDT,0.0584,0.06068,0.05591,0.0596,84917358.7,4909019.799,17586
1563408000000,2019-07-18 0:00:00,ADA/USDT,0.05511,0.05965,0.05315,0.05843,127563581.5,7258581.115,25374
1563321600000,2019-07-17 0:00:00,ADA/USDT,0.0518,0.05777,0.04985,0.05505,143916988.9,7760317.051,25314
1563235200000,2019-07-16 0:00:00,ADA/USDT,0.05901,0.06095,0.05006,0.05181,154418292,8474070.509,28289
1563148800000,2019-07-15 0:00:00,ADA/USDT,0.05907,0.06015,0.05463,0.05902,154031537.4,8922131.622,30650
1563062400000,2019-07-14 0:00:00,ADA/USDT,0.06672,0.0671,0.05877,0.05923,113952685.4,7092570.253,24446
1562976000000,2019-07-13 0:00:00,ADA/USDT,0.06946,0.07149,0.06438,0.06672,82744562.2,5595188.311,17818
1562889600000,2019-07-12 0:00:00,ADA/USDT,0.06508,0.07057,0.06328,0.06937,102400610.9,6918764.321,21929
1562803200000,2019-07-11 0:00:00,ADA/USDT,0.0717,0.0717,0.06232,0.06515,143858522.8,9435761.81,30032
1562716800000,2019-07-10 0:00:00,ADA/USDT,0.07786,0.07835,0.06947,0.07178,129284146.4,9505146.658,27315
1562630400000,2019-07-09 0:00:00,ADA/USDT,0.0801,0.08073,0.077,0.07783,77997383.5,6131044.466,17613
1562544000000,2019-07-08 0:00:00,ADA/USDT,0.07976,0.08193,0.0788,0.0801,84701755.9,6801931.23,18172
1562457600000,2019-07-07 0:00:00,ADA/USDT,0.07739,0.08004,0.07657,0.0797,52015864.1,4068774.016,12826
1562371200000,2019-07-06 0:00:00,ADA/USDT,0.07625,0.08076,0.07617,0.07745,80875797.3,6308950.51,17670
1562284800000,2019-07-05 0:00:00,ADA/USDT,0.07749,0.07814,0.07568,0.07631,62936464.8,4843441.535,15295
1562198400000,2019-07-04 0:00:00,ADA/USDT,0.08225,0.08249,0.07701,0.07737,100222918.5,7974625.403,20401
1562112000000,2019-07-03 0:00:00,ADA/USDT,0.08065,0.08315,0.07902,0.08231,126961632.8,10312476.3,25523
1562025600000,2019-07-02 0:00:00,ADA/USDT,0.08354,0.08432,0.07662,0.08054,181051185.5,14410619.99,37185
1561939200000,2019-07-01 0:00:00,ADA/USDT,0.08227,0.08599,0.08019,0.0836,130567054.8,10815059.36,30858
1561852800000,2019-06-30 0:00:00,ADA/USDT,0.08987,0.09077,0.0813,0.08226,157649399.8,13538222.1,30401
1561766400000,2019-06-29 0:00:00,ADA/USDT,0.08873,0.09095,0.08426,0.08975,143553238.2,12593349.19,32008
1561680000000,2019-06-28 0:00:00,ADA/USDT,0.08644,0.089,0.08496,0.08873,188562917.8,16407695.99,43080
